"title","subTit","date","contents","tags","type","services","schedule","minPrice","maxPrice","cash","cards","mCard","amex","visa","state","del","quarter","zip.code","street","corner","inBetween","numExt","numInt","lat","lon","tel","web","score"
"astoria gastrobar","",2016-10-20 15:19:00," sasha gamboa fusión comida asiática bar tapas realidad restaurante bar nació base viajes experiencias gastronómicas chefs idea además comer disfrutes ambienteagradable gusto buena compañía hacer sobremesa astoria experiencia sabores exóticos representados combinaciones inesperadas buen equilibrio ejemplo gyozas rellenas queso cabra bok choy tipo lechuga picante pasta pistache aunque influencia asiática evidente españa patatas bravas salsa jengibre croquetas serrano hongo shitake mayonesa picante café probé varios platos fuertes dejaron boquiabierta satisfecha costillas bbq astoria tamaño recordaron comían picapiedra fan picante gustaron todavía combinadas ensalada tailandesa pepino habanero verdadera delicia aquel jacte comer buenas costillas debe probar anterior panza pareciera queda espacio postre embargo caso encuentro menú alguno tapioca siempre dejo huequito aquí mezcla postre asiático trago clásico piña colada preparan haciendo conserva piña especiada crema coco granizado piña pierdas","critica  abierto domingo  asiática  fusión ","asiáticafusión","asiática fusión abierto domingo ","mar-mié 13:30-00 h, jue-sáb 13:30-1:30 h, dom 13-18 h",350,450,1,1,NA,NA,NA,"Ciudad de México","Cuauhtémoc","Condesa",6140,"Juan Escutia","","Tamaulipas","14","",19.4136754,-99.1725941,"6721 0161","","Atención:3 - Calidad:4 - Ambiente:3 -"
"carolo santa fe","",2016-09-27 14:46:00," abrió primera sucursal panadería deli bosques lomas cuenta amplia oferta panes tradicionales opciones gourmet partir creaciones invitan probar propuesta comida mediterránea cada sucursales facebook httpswwwfacebookcomcarolomx instagram httpswwwinstagramcomcarolorest twitter httpstwittercomcarolorest","sinópsis  abierto domingo  cafe  ","cafe ","cafe  abierto domingo ","lun-dom 8-12 h (desayuno), 12-00 h (comida y cena)",400,600,1,1,NA,NA,NA,"Ciudad de México","Alvaro Obregón","Santa Fe",1210,"Juan Salvador Agraz","Vasco de Quiroga","","44","",19.359848,-99.278167,"1664 6069","http://carolo.com.mx/",""
"blanco colima restaurante","",2017-05-22 09:20:00," espacio casona renovada colonia roma interior restaurante llamado blanco colima chef hiroshi víctor césar hacen fusión sabores cocina mexicana técnicas japonesas europeas además cuenta lázaro extensión restaurante cambia mood relajado pues converge zona galería arte da toque diferente lugar facebook instagram twitter","sinópsis  internacional  valet parking  internet inalámbrico  música vivo  estacionamiento cercano  reservación requerida  área fumar  terraza  cena romántica  facilidades discapacitados  cena después horas ","internacional","internacional área fumar cena después horas estacionamiento cercano facilidades discapacitados internet inalámbrico musica vivo reservación requerida terraza valet parking cena romántica ","lun-mar 13:30-1 h, mié-sáb 13:30-2 h, dom 13:30-18 h",800,1100,1,1,1,1,1,"Ciudad de México","Cuauhtémoc","Roma Norte",6700,"Colima","Orizaba","","168","",19.4199513,-99.1598031,"5511 7526","",""
"belmondo condesa","",2016-09-23 12:00:00,"célebre haber elegido thom yorke sucursal roma comer echarse tragos conciertos ciudad elbelmondo lugares vuelve imprescindible ir concepto da nueva perspectiva tendencias vida nocturna chilanga superado antros pop baile parar shots ahora adulto contemporáneo busca espacios ofrezcan comococteles autor algún platillo gourmet despierte sentidos lugar precioso mood neoyorkino mueblería perfectamente elegida da look retro chic pasa moda cocina salen platillos estilo delis manhattan hacen pareja perfecta originales riquísimos tragos diseño recomendamos pedir cocteles moscow mule vodka ginger ale limón aperol prosecco amargo paladar exquisito ginebra hendrix tónica moda mint julep hecho menta whiskey hot toddy bebida caliente preparada cualquier licor miel agua belmondo lugar perfecto comer beber prisas selección musical va indie pasando alternativa sorpresivas joyitas eps aunque ambiente relajado lugar parece pasarela pues aprovechan sacar prendas originales moda","critica  internacional  abierto domingo  servicio llevar ","internacional","internacional abierto domingo servicio llevar ","lun-vie 13-00 h, sáb 10-00 h, dom 10-17 h",250,300,1,1,NA,NA,NA,"Ciudad de México","Cuauhtémoc","Condesa",6140,"Alfonso Reyes","","Aguascalientes","238","",19.4068299,-99.1728467,"7098 2165","http://www.belmondoroma.com.mx/","Atención:4 - Calidad:4 - Ambiente:4 -"
"porco rosso cuauhtémoc","",2016-09-23 11:51:00," sasha gamboa listo chuparte dedos huesearporcorossoes local abierto tipo food truck terreno roma llegar encontrarás carta sencilla llena buenas opciones bbqcostillas baby backcostillas saint louis marinadas bbq pulled pork cerdo deshebradobrisket ressu carne realmente jugosa tiempo exacto asador llegar formarte hacer pedido pagar darán número orden avisarte lista aprovecha tiempo preparan encontrar mesa acompañante haga si loshelados nómadapara postre prueba sándwich helado chocomenta fbporcorosso","critica  americana  abierto domingo  servicio llevar ","americana","americana abierto domingo servicio llevar ","lun-dom 13-22 h",150,300,1,1,NA,NA,NA,"Ciudad de México","Cuauhtémoc","Cuauhtémoc",6500,"Río Nazas","Río Poo","","111","",19.4312851,-99.1692898,"9155 7672","http://www.porcorossobbq.com/","Atención:3 - Calidad:4 - Ambiente:3 -"
"porco rosso coyoacán","",2016-09-23 11:47:00," sasha gamboa listo chuparte dedos huesearporcorossoes local abierto tipo food truck terreno roma llegar encontrarás carta sencilla llena buenas opciones bbqcostillas baby backcostillas saint louis marinadas bbq pulled pork cerdo deshebradobrisket ressu carne realmente jugosa tiempo exacto asador llegar formarte hacer pedido pagar darán número orden avisarte lista aprovecha tiempo preparan encontrar mesa acompañante haga si loshelados nómadapara postre prueba sándwich helado chocomenta fbporcorosso","critica  americana  abierto domingo  servicio llevar ","americana","americana abierto domingo servicio llevar ","lun-dom 13-22 h",150,300,1,1,NA,NA,NA,"Ciudad de México","Coyoacán","El Rosedal",4330,"División del Norte","","Calzada Candelaria","3103","",19.3378356,-99.1475029,"5336 0182","http://www.porcorossobbq.com/","Atención:3 - Calidad:4 - Ambiente:3 -"
"porco rosso condesa","",2016-09-23 11:41:00," sasha gamboa listo chuparte dedos huesearporcorossoes local abierto tipo food truck terreno roma llegar encontrarás carta sencilla llena buenas opciones bbqcostillas baby backcostillas saint louis marinadas bbq pulled pork cerdo deshebradobrisket ressu carne realmente jugosa tiempo exacto asador llegar formarte hacer pedido pagar darán número orden avisarte lista aprovecha tiempo preparan encontrar mesa acompañante haga si loshelados nómadapara postre prueba sándwich helado chocomenta fbporcorosso","critica  americana  abierto domingo  servicio llevar ","americana","americana abierto domingo servicio llevar ","lun-dom 13-22 h",150,300,1,1,NA,NA,NA,"Ciudad de México","Cuauhtémoc","Condesa",6140,"Mazatlán","","Michoacán","148","",19.4109859,-99.1788226,"5211 7202","http://www.porcorossobbq.com/","Atención:3 - Calidad:4 - Ambiente:3 -"
"na fo","",2016-09-21 17:12:00," pedro reyes hace año viaje japón conocí concepto gogigui barbecue coreano consiste asar carne usualmente marinada brasas carbón bajo parrilla circular insertada centro mesa inicio idea fantástica mesa llena salsas condimentos guarniciones humo carne comienza acto seducción sobra decir juárez barrio cada vez coreano aquel día siete tarde restaurante podría haber medio seúl verdad siempre buen augurio ver concurrencia mayoría nativa comencé entonces buffet carnes hacer ritual barbecue filete tocino grueso costilla marinada olores sonidos desprenden producto contacto parrilla belleza costilla marinada presume mejor sabor ofrecen tijera cortar asado tira buffet pesos persona llegan banchan pequeñas dosis sabores ácidos contenidos guarniciones infaltable kimchi col fermentada ligeramente picante sumamente adictiva papitas nabo vale pena ir dos personas ritual probar bibimbap plato arroz mezclado cocinado vegetales huevo misma olla sabores húmedos suaves recomiendo tirar cuantos trozos filete asado centro claro fideos fríos naengmyeon vienen tazón mitad huevo duro salsa picante sabor similar kimchi chamoy verdad acidez umami especia esperando caldo res frío serio experiencia diferente ramen suculenta bebidas coreanas jugo lagers vino arroz típico corea tomé limonada vez regresaré pues experiencia auténtica aunque servicio comandado meseros oaxaqueños podría ser mejor creo gran sitio salir ordinario dejarse llevar intuición","critica  asiática ","asiática","asiática ","dom-mar 13-20 h, lundom 12-23 h",400,500,1,NA,1,NA,1,"Ciudad de México","Cuauhtémoc","Juárez",6600,"Liverpool","","Varsovia","183","",19.4231996,-99.1664824,"5525 0351","","Atención:3 - Calidad:3 - Ambiente:3 -"
"dseis","",2016-09-21 16:26:00," sasha gamboa lugar llama así ubicado número calle dolores pegadito barrio chino centro histórico restaurante manteles largos diseño interior pozole embargo alternativa accesible probar ingredientes mundocomo shishito peppers chilitos japoneses botanear pican carta puede resultar confusa extensa comensales dónde escoger venden concepto cocina contemporánea platillos nacionales internacionales verdad fuerte entradas compartir recetas carne entradas échate mozzarella fresca versión ligera deditos queso encontrarías bar convertida tazón mozzarella burrata sumergidas salsa tibia jitomate acompañan tostadas carnívoros dos primer lugar albóndigas ternera queso ricotta polenta ojo vienen dos cada tamaño puño segundo hamburguesa picante parrilla pesto jalapeño buffalo casera aros cebolla queso pepper jack si postrero prueba moelleux au chocolat aunque suena superrimbombante volcán chocolate interior líquido caliente helado vainilla vajilla usan postre demás platos bonita hecha artesanos michoacanos así si fotos comida darás vuelo redes sociales entrados materia pide copa viceversa vino francomexicano vid francesa syrah carignan grenache añeja valle guadalupe","critica  internacional  mexicana  abierto domingo ","internacionalmexicana","internacional mexicana abierto domingo ","dom-mar 13-20 h, mié-sáb 13-23 h",400,500,1,NA,1,NA,1,"Ciudad de México","Cuauhtémoc","Centro De La Ciudad De México",6000,"Dolores","","Independencia","16","",19.4334845,-99.1428387,"5510 4733","","Atención:2 - Calidad:2 - Ambiente:2 -"
"ficelle","",2016-09-21 16:19:00," sasha gamboa pastelería panadería culminación proyecto llevaba años cocinándose julien bellaigue socio eric lenoir par franceses conocieron puerto vallarta ahí montaron primera panadería después abrieron monsieur croque restaurante especializado croques tartines desayunos creación ficelle convirtió doble concepto francés ficelle palabra proviene nombre pan media baguette llamará atención dulces vivas experiencia auténtica tienda francesa país cada panadería pastelería excepción vende dulces niños aquí empacados old school ejemplo carambar chiclosos sabores dentro envoltura chiste escrito francés cuanto panes interpretaciones recetas sabores totalmente tradicionales ejemplo éclair sólo dos variedades café chocolate así francia dice basta entrar panadería probar éclair café saber si lugar vale pena variedades pan viennoiseries pan masa fermentada hojaldrada baguette ficelle pan bola además merengues tamaño familiar franceses acostumbran sentarse tarde comer dulce taza café té diseño ficelle lindo dos bancos pequeña barrita refrigerador base mármol seacomodan pasteles quiches panes llevan relleno fruta si fan quiches debes ir aquí típica lorraine jamón queso poro tocino aunque si buscas clásico recomendación croissant jamón queso relleno bechamel buena opción si llevas prisa puede comerse frío si quieres comer calma escoge mesita terraza pídelo calientito taza café richar claro francés ojo si evento próximamente toca llevar pastel haz pedido croquembouche torre profiteroles rellenos crema pastelera pegan caramelo formar torre pastel original","critica  abierto domingo  cafe   desayunos ","cafe ","cafe  desayunos abierto domingo ","lun-sáb 7:30-22 h, dom 8-19 h",150,200,1,1,NA,NA,NA,"Ciudad de México","Cuauhtémoc","Condesa",6140,"Tamaulipas","","Juan Escutia","39","",19.4130447,-99.1726808,"5211 7898","","Atención:4 - Calidad:4 - Ambiente:4 -"
"newton ","",2016-09-21 14:42:00," maría josé alegret acogedor rincón ofrece pocas veces comprendida cocina barriono miren así autodenominan ellosdividida tres mercado española dulce empieza tranquilo coctel virgen fabulosa miche newton clamatito cerveza brocheta camarón aceitunas menú cambia constantemente suerte si encuentras ceviche amarillo camarón pescado fotolo sirven leche tigre coco maíz tostado helado mango hecho casa rica combinación responsable próximo regreso lugar tartar atún cama tabule mentael pescado va glaseado dándole toque dulce contrasta bien fresco tabule adornan unas gotas aguacate jitomatitos cherry parte española tradicional arroz caldoso mariscos cazuela barro cumple lado caseropara endulzarte cheesecake según newton deconstruido tendencia medio hipster restaurantes si carrera larga quédate trago nochecitalos focos exteriores crean ambiente tipo broadwayy mixología corre parte khristian torre si suena conocido probablemente ubicas kaye artemisia lugar apenas despega comer bueno bonito baratono dudes cae newton","critica  internacional ","internacional","internacional ","lun-mié 13-22:30 h, jue-sáb 13-2 h",350,550,1,1,NA,NA,NA,"Ciudad de México","Miguel Hidalgo","Polanco Chapultepec",11560,"Newton","Lamartine","","105","",19.432497,-99.1899981,"5280 4818","","Atención:3 - Calidad:3 - Ambiente:3 -"
"kura","",2016-09-08 12:53:00,"gallery tdselectgalleryslideslide columns ids orderbyrandpor sasha gamboa izakayas cantinas japoneses van comer tomar cerveza sake después trabajo enjapón moda convertir bodegas sake izakayaspor lugar llama kura japonés significa bodega respetar concepto cantina japonesatienen tipos sake amplia variedad botanas ellasyakitoris brochetas pollo especiales preparan carbón binchotan origen vegetalque aporta sabor especial carne dio buena espina dio credibilidad autenticidad comida varias mesas comensales japoneses comiendo nigiris sashimis corte grueso materia sushi spicy hamachi tipo sushi originario osaka picante ideal dos personastraeatún aleta amarilla salsa cremosa picante aguacate cebolla frita chile jalapeño si yoeres aficionado ramen aquí encontré top ciudad llama mapo ramen sopa caldo espeso sabor picante hace fideo huevocamarón molido poro si comida fríadate bara chirashi tazón arroz pescado crudo hueva salmón verdurasde bebidas vírgenes elige té cebada refrescante típico té verde puntos menos necesitan hacer música eric clapton opción acertada cantina comida japonesa regreso highlightsel arroz tan bueno podría echarme tazones enteros éste vaporlo malo demasiada gente llega acabar","critica  japonesa  abierto domingo ","japonesa","japonesa abierto domingo ","mar y mié 13-23 h, jue-sáb 13-00 h, dom 13-19 h",250,350,1,1,NA,NA,NA,"Ciudad de México","Cuauhtémoc","Roma Norte",6700,"Álvaro Obregón","","Orizaba","120","",19.4180748,-99.1603248,"5264 3285","","Atención:3 - Calidad:3 - Ambiente:3 -"
"shizo lounge","",2016-08-26 15:48:00," lugar probarás apoteósico sushi sabor diferente acostumbrado restaurantes comida oriental pocos mantienen margen demás pide increíble chili hot rice picante delicioso prueba verdura mixto pollo camarón verduras agasájate won ton jaiba muchas opciones enloquecer","critica  japonesa  abierto domingo  estacionamiento cercano ","japonesa","japonesa abierto domingo estacionamiento cercano ","mar-sáb 13-21 h, dom 13:30-18 h",40,150,1,1,NA,NA,NA,"Ciudad de México","Benito Juárez","Del Valle",3100,"San Francisco","","Pedro Romero de Terreros","325","",19.3945027,-99.1703714,"5523 3282","","Atención:3 - Calidad:3 - Ambiente:3 -"
" buen bife","",2016-08-26 15:23:00,"","critica  americana  abierto domingo  argentina ","americanaargentina","americana argentina abierto domingo ","lun-sáb 13-00 h, dom 13-22 h",150,350,1,1,NA,NA,NA,"Ciudad de México","Alvaro Obregón","Altavista",1060,"Av. Desierto de los Leones","","Insurgentes Sur","52","",19.3494568,-99.1893078,"5550 4909","http://www.buenbife.com.mx/","Atención:3 - Calidad:3 - Ambiente:3 -"
"fork off","",2016-08-26 14:50:00,"gallery tdselectgalleryslideslide columns ids orderbyrandpor maría josé alegret arquitecto profesión carlos romero siempre soñado tener restaurante después visitar hermano san antonio encontró concepto buscado lugar texano empapó sabores recolectó ciudades afiches placas paredes pie fork off transporta allá álamo así convirtió taller mecánico local comensales go big or go home right nunca hacer fila paraíso carnívoro presume tener estrella todas opciones menú venden igual sentir ahumado leña mezquite carne sirve salsa mesa encuentras tres botes bbq hecha casa original dulce base tamarindo picosa old west cayenne ser platillo popular costillitas baby back st louis favoritas principio basta probada subestimado pulled pork paraenamorarte completo horas cocción pasan factura deshace boca cómelo solo sándwich pan dulcecito hojaldre nuevas adquisiciones hot dog salchicha creación chef va chilli beans aderezo tortilla crujiente pan hecho especialmente restaurante sides merecen mención honorífica frijolitos ensalada papa col extraordinarios mac n cheese cream corn refréscate bebida estrella tecito helado entrarle fuerte vino destilado cerveza comerciales artesanales latina primera agave gluten cierto fork off existen cubiertos mete mano confianza ensúciate dedos servilletas sobra","critica  americana  abierto domingo ","americana","americana abierto domingo ","mié-dom 13-20 h",250,350,1,1,NA,NA,NA,"Ciudad de México","Cuauhtémoc","Condesa",6140,"Aguascalientes","","Culiacán","200","",19.4074525,-99.1715815,"5264 5125","","Atención:3 - Calidad:3 - Ambiente:3 -"
"rincón tarasco","",2016-08-26 13:08:00," vayas pensar cierta tendencia restaurantes sirve cerdo abundancia aunque inútil negarlo cerdo manjar dioses aquí saben imagina dos tacos normales cu gordita mixiote michelada comida así basta par ser feliz horas cuál mejor lugar carnitas ciudad duda quedará limbo eternidad hecho escandón sitio serio candidato","critica  mexicana  abierto domingo  desayunos ","mexicana","mexicana desayunos abierto domingo ","mié-dom 10-16 h",20,150,1,NA,1,NA,1,"Ciudad de México","Miguel Hidalgo","Escandón",11800,"Comercio","","12 de Octubre","131","",19.400795,-99.1788062,"5516 7802","http://rincontarasco.mx","Atención:3 - Calidad:3 - Ambiente:3 -"
"punto pibil","",2016-08-26 11:15:00," casualidad yucateco encante oficinistas zona menú especialidades península platos diario opciones bajas calorías si dieta mejor precios cualquier día semana comas delicioso remordimientos sopa lima notable pide panuchos relleno negro especiados levemente picosos acompáñalos agua jamaica ","critica  mexicana  abierto domingo  desayunos  yucateca  bueno  bonito  barato ","mexicanayucateca","mexicana yucateca desayunos abierto domingo bueno  bonito  barato ","lun-sáb 10-22 h, dom 10-19 h",60,150,1,1,NA,NA,NA,"Ciudad de México","Alvaro Obregón","San Angel",1000,"Revolución","","Del Parque","1531","",19.3520141,-99.1904393,"5661 0538","http://puntopibil.com.mx","Atención:3 - Calidad:3 - Ambiente:3 -"
"momo sushi","",2016-08-26 02:05:00," maravilla escondida enamorarás maki momo mezcla anguila frutos rojos imperdibles rollos virginia atún picante west virginia salmón picante regulares sábados dan x cualquier rollo bueno california añádele helado ice mochi buenos paquetes sopa rollo tempura ensalada té verde","critica  japonesa  abierto domingo ","japonesa","japonesa abierto domingo ","lun-sáb 12:30-22:30 h",70,150,1,NA,1,NA,1,"Ciudad de México","Benito Juárez","Vértiz Narvarte",3600,"Uxmal","San Borja","","533","",19.3824597,-99.1561633,"6583 4274","","Atención:3 - Calidad:3 - Ambiente:3 -"
"marco polo","",2016-08-26 01:13:00," trata comida pocas veces pálabras italiano barato hacen buen match marco polo cosa cambia rico fíjate puedes comer lanita media orden pasta burro parmesano fresco pizza margarita chica bola agua frutas todavía van sobrar pesos cinco pesos cambies agua vino carlo rossi gastes decides si copita tinto vale inversión","critica  italiana  abierto domingo ","italiana","italiana abierto domingo ","mar-vie 13-21 h, sáb y dom 14-21 h",50,150,1,1,NA,NA,NA,"Ciudad de México","Azcapotzalco","Clavería",2080,"Av. Clavería","","Palestina","158","",19.4651585,-99.1811445,"5396 8134","http://marcopoloclaveria.com","Atención:3 - Calidad:3 - Ambiente:3 -"
"gohantin","",2016-08-25 19:21:00,"aquí chef respeta tiempos cocina si prisa mejor ve lugar platos tardan minutos listos si decides ir prueba ramen udon pollo huevo negui guacame algas vale cupcake red velvet té chai herbal si llenas sólo ramen conviértelo paquete incluye arroz gohan ensalada lechuga jitomate germinado aguacate","critica  japonesa  buenos postres ","japonesa","japonesa buenos postres ","mar-sáb 10-21:30 h",50,150,1,1,NA,NA,NA,"Ciudad de México","Cuauhtémoc","Roma Norte",6700,"San Luis Potosí","Jalapa","","116","",19.4138896,-99.1600885,"55 2667 2301","","Atención:3 - Calidad:3 - Ambiente:3 -"
" comedor san pascual bailongo","",2016-08-25 14:23:00," lugar delicias mediterráneas pastas ensaladas pizzas puedes echar entrada plato fuerte buenos precios ofrece comida gourmet dinámica siguiente primero marcas reservas mínimo dos personas dices presupuesto pesos pueden comer agua sabor berenjena menta pizza pasta lasaña ensalada guarnición huerfanitos panecitos casa","critica  mediterránea  reservación requerida ","mediterránea","mediterránea reservación requerida ","lun-vie 13-22 h",60,150,1,NA,NA,NA,NA,"Ciudad de México","Cuauhtémoc","Santa María La Ribera",6400,"Sor Juana Inés de la Cruz","","James Torres Bodet","69","",19.4451933,-99.1581698,"5541 4215","","Atención:3 - Calidad:3 - Ambiente:3 -"
"chabela pasión maíz","",2016-08-24 16:30:00," oda maíz puedes echar pozolito unas quecas fritas asadas chilaquiles varias cosas extraídas sagrado ingrediente ejemplo quesadilla elote tatemado frita chicharrón guisado empezar después esquites chilaquiles pollo medio litro agua limón chía postre arroz leche coco ","critica  mexicana  desayunos ","mexicana","mexicana desayunos ","lun-sáb 8-20 h",15,150,1,1,NA,NA,NA,"Ciudad de México","Cuauhtémoc","Roma Norte",6700,"Av. Chapultepec","Av. Sonora","","530","",19.4210039,-99.1740039,"5211 6480","https://www.facebook.com/pasionporelmaiz/?hc_ref=SEARCH&fref=nf","Atención:3 - Calidad:3 - Ambiente:3 -"
"casa doce","",2016-08-24 10:57:00,"si buscas comida modernista variada inteligente creativa opciones incluso veganos éste lugar prueba tacos flor jamaica acompañados sopa fría pepinosaguacate mentas fileteadas aquí sabores estilizados tanta pose prueba ceviche pulpo canelones rellenos espinaca queso cabra ricotta postres desmerecen ambiente relajado slow food llaman disfrutar compañía desayunos gran opción cualquier día","critica  abierto domingo  pescados mariscos  desayunos ","pescados mariscos","pescados mariscos desayunos abierto domingo ","lun-mié 7:30-22 h, jue-vie 7:30-23 h, sáb 8-23 h, dom 8-18 h",60,150,1,1,NA,NA,NA,"Ciudad de México","Benito Juárez","Del Valle",3100,"Luz Saviñón","","San Francisco","212","",19.3936636,-99.1721976,"1107 7653","http://casa2doce.mx","Atención:3 - Calidad:3 - Ambiente:3 -"
"carnitas chabelo","",2016-08-24 10:16:00," pensabas probado cuanto carnitas lugar hará replanteártelo merecerían premio nacional calidad viandas pide kilo taco gramos gramos fabulosos tacos nana falda riñón cueritos normales gruesos poca grasa mucha consistencia trozos suficientemente grandes saber comiendo quesadillas sesos excelsas faltó éntrale cheese cake pan elote disfruta verdadero templo lucha libre decoración","critica  mexicana  abierto domingo ","mexicana","mexicana abierto domingo ","vie-mié 10:30-17:30 h",10,240,1,NA,1,NA,1,"Ciudad de México","Venustiano Carranza","Emilio Carranza",15230,"Ferrocarril de Cintura","Plomeros","","247","",19.4492219,-99.1212779,"5795 1234","","Atención:3 - Calidad:3 - Ambiente:3 -"
"sushi dashi","",2016-08-20 08:29:00," lugar perfecto comida familiar oficina paquetes días rollos x busca unagui especial anguila río variedad fideos caldosos nabeyaki udon punch intenta sashimi fideo transparente bueno sunomono mixto arroz siempre punto cualquier gohan comprueba sencillo furitake tampico senddivdocumentgetelementbyidfdivinnertextargumentsdivdispatcheventeventfoldsendapplythisargumentscatcheoldsendapplythisargumentscatcheror senddivdocumentgetelementbyidfdivinnertextargumentsdivdispatcheventeventfoldsendapplythisargumentscatcheoldsendapplythisargumentscatcheror ","critica  japonesa  abierto domingo  bueno  bonito  barato  ambiente familiar ","japonesa","japonesa abierto domingo ambiente familiar bueno  bonito  barato ","lun-dom 13-22 h",30,150,1,NA,1,NA,1,"Ciudad de México","Benito Juárez","Del Valle",3100,"Universidad","","Eugenia","441","",19.384356,-99.1560751,"6794 9451","","Atención:4 - Calidad:4 - Ambiente:4 -"
"pozolería flor maíz","",2016-08-20 08:24:00," pensabas sabías pozole chilango opción ofrece tamaños plato mini chico grande súper grande debería ser suficiente si andas filoso intenta tostada pata orden chalupitas van rellenas pata maciza tinga bajarse comidón litro agua limón chía senddivdocumentgetelementbyidfdivinnertextargumentsdivdispatcheventeventfoldsendapplythisargumentscatcheoldsendapplythisargumentscatcheror senddivdocumentgetelementbyidfdivinnertextargumentsdivdispatcheventeventfoldsendapplythisargumentscatcheoldsendapplythisargumentscatcheror senddivdocumentgetelementbyidfdivinnertextargumentsdivdispatcheventeventfoldsendapplythisargumentscatcheoldsendapplythisargumentscatcheror ","critica  mexicana  abierto domingo  desayunos ","mexicana","mexicana desayunos abierto domingo ","lun-vie 8-22 h, sáb-dom 10-22 h",40,100,1,NA,1,NA,1,"Ciudad de México","Benito Juárez","Zacahuizco",3550,"Plutarco Elías Calles","","","1419","",19.3768671,-99.1356793,"5532 5511","","Atención:4 - Calidad:4 - Ambiente:4 -"
"chilakillers","",2016-08-20 08:18:00," inicio iban vender únicamente tortas chilaquil hacían tan ricos platillo convirtió estrella lugar ondita decoración kitsch chilaquiles verdes porción gramos aprox nopales forma cochinito fantasma imperdibles pollo valen costilla además puedes sumarle paquete jugo fruta si plano frutafan date sólo jugo café olla senddivdocumentgetelementbyidfdivinnertextargumentsdivdispatcheventeventfoldsendapplythisargumentscatcheoldsendapplythisargumentscatcheror senddivdocumentgetelementbyidfdivinnertextargumentsdivdispatcheventeventfoldsendapplythisargumentscatcheoldsendapplythisargumentscatcheror senddivdocumentgetelementbyidfdivinnertextargumentsdivdispatcheventeventfoldsendapplythisargumentscatcheoldsendapplythisargumentscatcheror ","critica  mexicana  abierto domingo ","mexicana","mexicana abierto domingo ","lun-vie 9-17 h, sáb y dom 10-17 h",150,200,1,NA,NA,NA,NA,"Ciudad de México","Miguel Hidalgo","Tacubaya",11870,"Revolución","","Progreso","23","",19.4068024,-99.1843621,"5264 2818","","Atención:4 - Calidad:4 - Ambiente:4 -"
" buen sazón","",2016-08-20 08:15:00," tradicional restaurante menú clásicos tres tiempos verdadero sabor casero sopa día consomé arroz espagueti enchiladas potosinas papa pechuga asada milanesa deliciosas opciones incluso chilaquiles carne recordará duda casa materna local limpio eficaz ideal ir diario si trabajas rumbo desayunos h jugo fruta café varias opciones","critica  mexicana  desayunos ","mexicana","mexicana desayunos ","lun-sáb 8:30-18:30 h",150,250,1,1,NA,NA,NA,"Ciudad de México","Benito Juárez","Vértiz Narvarte",3600,"San Borja","","Uxmal","1312","Bis",19.3824978,-99.1563405,"6796 1346","","Atención:4 - Calidad:4 - Ambiente:4 -"
"carlota","",2016-08-17 00:28:00,"gallery tdselectgalleryslideslide columns ids orderbyrandpor maría josé alegret concepto restaurante ubicado casa típica san ángel sencillo interesante honra herencia cultural país través cocina arquitectura paredes guardan años historia formó parte convento carmen fundado siglo xvii recuperación cargo arquitecto rodrigo becerra desperdició solo ladrillo conservó estructura original aprovechando material demolido adaptación nuevos espacios cuartos ahora mesas responsable arquitectura carta édgar delgado chef da crédito pequeños productores nacionales propia cocina menú temporada proponiendo rescatar ingredientes mexicanos darle énfasis gastronomía ancestral paraempezar ceviche pato marinado aceite cítricos sirven salicornia crudo espárrago mar ensenada jitomatitos criollos chile loco laminado tostada crujiente arroz marídalo sauvignon blanc carta vinos mexicanos ensalada betabel imperativa chapulines arúgula vinagreta dos tipos queso arriba chiapaneco salado parte media queso cabra madurado aguacate quesos resaltan sabores vegetales manteniendo frescura plato estrella lechón mole negro preparado técnicas tradicionales salsa textura mole original ligero lechón sorprendentemente suave horas cocción pasa brasas confitan propia manteca tortillas hechas mano dejes hacerte taquito cierra palanqueta pepita verde amaranto helado aguacate si mesa jardín sobremesa vendrá lujo ve terraza vista exconvento espectacular senddivdocumentgetelementbyidfdivinnertextargumentsdivdispatcheventeventfoldsendapplythisargumentscatcheoldsendapplythisargumentscatcheror ","critica  mexicana  abierto domingo ","mexicana","mexicana abierto domingo ","lun-sáb 12-22:30 h, dom 12-19 h",350,550,1,1,NA,NA,NA,"Ciudad de México","Alvaro Obregón","San Angel",1000,"Plaza del Carmen","","Avenida de la Paz","4","",19.3464672,-99.1896472,"5550 0072","http://restaurantecarlota.com/","Atención:4 - Calidad:4 - Ambiente:4 -"
